No;Label;Username;Tweet
184;campaign;iamkharisya;Sobat, ini dia cara ganti password parental control di HBO Go. Yuk, simak langkah-langkah berikut ini!Nonton film kesayangan jadi lebih aman dan nyaman bersama IndiHome https://t.co/NvT3KOy2Af
185;campaign;iamkharisya;Sobat, hari ini IndiHome Care bakal bahas tentang fiber optik. Pasti masih pada bingung pengertian fiber optik berserta fungsinya bukan Yuk, simak pada video berikut ini!#InternetnyaIndonesia#AktivitasTanpaBatas https://t.co/tT8M4DKG7W
186;campaign;royya1311;Semua lampu dirumah sudah otomatos, begitu hari petang nyala sendiri, semua bisa gini karena ada wifi IndiHome dirumah?? #AktivitasTanpaBatas https://t.co/LjY7oNLZxi
187;none;idakus_dhae;Julian anak Indihome ya ?
188;complaint;zonalayakhuni;indihome apa lagi gangguan?
189;compliment;iamkharisya;Apapun pertanyaan seputar layanan IndiHome, kami siap membantu Kamu menemukan dan memberi solusi terbaik. Tidak perlu ragu atau bingung lagi ya https://t.co/2Lv6pEhjxK
190;complaint;goodnessinside8;@IndiHomeCare @IndiHomeCare @TelkomIndonesia Upaya kalian hingga 136 hari ini cuma terkesan basa-basi dan mengumbar janji-janji palsu tanpa bukti!?? 136 hari pertanyaan kami belum pernah dijawab : Hari, Tanggal dan Jam berapa Layanan Indihome bisa kami pergunakan kembali dengan normal ????
191;compliment;vitaarahma23;Nengokin dede bayi ternyata dirumahnya ada wifi Indihome juga huhu pengertian sekalii https://t.co/uEzU6OQhQX
192;complaint;anggipusv;@IndiHomeCare indihome gangguan mulu. Gabisa pengaduan lewat aplikasi. Mohon dibantu?
193;complaint;erickrotama;indihome kenapa sih ajg
194;own tweet;indihomecare;@IsahKambali @IndiHome Hallo Ibu Isah. Mengenai laporannya jika sebelumnya sudah ada koordinasi dengan petugas maka mohon berkenan menunggu progres selanjutnya dan akan kami upayakan secepatnya tersolusikan agar layanan di lokasi bisa digunakan dengan normal. Terima kasih. -Jako
195;complaint;rmrdeclo;@Queen_hby waittt bentar indihome leg
196;complaint;fvnkjay;indihome nelfonin mulu nyuruh bayar sebelum tgl 20, tgl 20 aja masih lama. ini sewa atau kredit sih modem routernya
197;own tweet;indihomecare;@NazarKhaerul_A Sama-sama Kak Nazar, selamat menikmati layanan IndiHome pastinya dengan IndiHome semua #pastiberes -Mutiara
198;campaign;sitifaridah96;Annyeong, K-Drama Lovers! Nonton K-Drama dan nonton MV #EXO makin asik kalau akses internet cepat jadi bisa #AktivitasTanpaBatas nonton K-Drama dan Variety Show KAI's Bucket List di YouTube #IndiHome Lebih lengkap bisa dibaca di blog aku ya, https://t.co/uBNBZFj14W
199;complaint;mrblurryface;Udahlah sinyal hape no service. Indihome lemot pula. Panteq
200;complaint;d04hae_bigwin;Indihome aku kok error yah
201;compliment;wildanviko;Happy Tuesday, kawan! Baru dua hari kerja, jangan loyo ya! weekend masih jauh banget. Semangat cari uang buat liburan. Kerja, kerja, kerja Walaupun WFH akses internet msh didukung penuh oleh Indihome,,jd kerjaan cepet kelar deh ???? https://t.co/qX04eupVu0
202;compliment;wildanviko;Hai Guys, Udah hari Selasa aja nih. Jangan malas-malasan lagi. Ayo Semangat! Selasa : SElangkah LAgi SAkses (sukses)!! Jangan lupa banyak kontribusi Indihome yg selalu support aktifitasmu,,makasih Indihome ?? https://t.co/axBQ481M0X
203;own tweet;indihomecare;@temennyattaurel @IndiHome Halo, Sobat. Maaf ya jadi bikin kurang nyaman. Silakan informasikan data berikut melalui DM agar kami bantu solusikan: - Nomor internet - Atas Nama - Alamat Pelanggan - Jumlah tagihan terakhir (lunas) - Relasi dengan pemilik IndiHome Terima kasih. -Idan
204;compliment;uzhy2see;Lihat video persiapan Teknisi IndiHome di sini, yang selalu siap memberikan pelayanan maksimal untuk Sobat! , bekerja dan melayani sepenuh hati https://t.co/gc1ysRO7wE
205;campaign;hafandiwinata;laper banget abis liat youtube Asmr terus langsung deh beli makan, lanjut nonton lagi hehe untung pake jaringan internet super cepat dari indihome ?? #InternetnyaIndonesia #AktivitasTanpaBatas https://t.co/DUHyK9fTd6
206;complaint;happyyaayaya;Indihome ngapeee nih
207;complaint;sexyeveryweeknd;@IndiHomeCare indihome saya los
208;complaint;frskalvntgld;@IndiHomeCare seminggu ini indihome jelek bgt jaringannya, masa no connection mulu
209;compliment;r_ayatii;Jika Kamu merasa masalah begitu besar dan tidak mampu diselesaikan. Hanya ingatlah satu hal, Tuhan Maha Besar. Tidak ada yang besar selain Dia. Semangat tanpa batas dengan jangkauan Internet cepat Indihome ?? https://t.co/1J4dE2jjKo
210;compliment;r_ayatii;Happy Tuesday, kawan! Baru dua hari kerja, jangan loyo ya! weekend masih jauh banget. Semangat cari uang buat liburan. Kerja, kerja, kerja Walaupun WFH akses internet msh didukung penuh oleh Indihome,,jd kerjaan cepet kelar deh ???? https://t.co/KI1SJ8uR2T
211;complaint;jinushidden;indihome udh 3 minggu kek tai
212;compliment;r_ayatii;Hai Guys, Udah hari Selasa aja nih. Jangan malas-malasan lagi. Ayo Semangat! Selasa : SElangkah LAgi SAkses (sukses)!! Jangan lupa banyak kontribusi Indihome yg selalu support aktifitasmu,,makasih Indihome ?? https://t.co/rPBMVgjtyR
213;compliment;uzhy2see;#DiRumahAja bareng IndiHome TV, dijamin ngga akan bosen dan bisa ngerasain punya bioskop sendiri di rumah! untuk langgan indihome di sini aja https://t.co/MZTRIenNOM https://t.co/UmEPV6rxTG
214;campaign;putrimega1190;Mau pamer jualan dulu ah, mumpung wifi Indihome di rumah kenceng. Siapa tau ada yg beli. #InternetnyaIndonesia #AktivitasTanpaBatas https://t.co/FlQ0m1aPyr
215;compliment;r_ayatii;Selasa : Jangan memaksa atau sok berkuasa. Saling menjaga dan tenggang rasa. Semua bahagia! have a nice day, indihome selalu dihati ?? https://t.co/UNgkuguR2T
216;compliment;r_ayatii;Selamat hari Selasa buat sahabat gila yang buat hariku jadi penuh warna! Sahabat terbaiku Indihome yg selalu setia sampe kapanpun menemani aktifitasku ???? https://t.co/WPTPu6xbS9
217;none;arsalanhere;@katanyajanuari Ena banget ya kuy kuy. Indihome Netflix aku siapa yg bayarin nanti ??
218;campaign;indihomecare;"@AloonaLovegood Hai Kak Aloona, Jako informasikan biaya Pasang baru IndiHome adalah ""Lima ratus ribu rupiah"" belum termasuk PPN 10% dan dibayarkan diawal saat layanan IndiHome Kakak sudah aktif. Terima kasih. -Jako"
219;complaint;aleyyaxa;indihome kenapa sih?? bikin emosi
220;campaign;caydoremi;Hayo siapa yang masih bingung dengan istilah prabayar dan pascabayar layanan IndiHome? Sini-sini, mimin akan jelaskan kedua istilah tersebut. Yuk, simak di sini ya! #AktivitasTanpaBatas #InternetnyaIndonesia https://t.co/NQnrhgJghH
221;inquiry;userano94213073;@IndiHomeCare Min, Kalo biaya pasang IndiHome itu gratis atau bayar?
222;compliment;saeron00fc;@BAEK92SKY ?? Ini indihome. Kalau ini your home. https://t.co/rgQKRMI8gi
223;none;rrjnluvr;@pervxert indihome ya?
224;none;sipemakanibab;@sihampirlucu @secgron @IndiHome Makasih inponya gais ??
225;complaint;sipemakanibab;@secgron @IndiHome Minta tolong dulu, udah berapa hari ini suka mati2 wifinya. Jangan tau2 disuruh bayar tagihan tapi pas sebulan dipake suka mati2
226;inquiry;aloonalovegood;Min, Kalo biaya pasang IndiHome itu gratis atau bayar? @IndiHomeCare
227;own tweet;indihomecare;@SelenaVirus17 Halo Kak Selena, terima kasih atas apresiasinya selamat menikmati layanan IndiHome pastinya dengan IndiHome semua #pastiberes -Mutiara
228;none;wdrtm_;@bherlindayl @IndiHome lho akunmu gembokan:( di dm ae...
229;compliment;selenavirus17;@IndiHomeCare Koneksi internet IndiHome selalu lancar. Nyaman banget buat kerja sama main game. Mantap IndiHome
230;none;sihampirlucu;@secgron @IndiHome Pengguna setia indihome silahkan @sipemakanibab ????
231;complaint;ksseulgaey;indihome lagi bermasalah ga sih?
232;none;resi_san;Pantengin variety shownya aja dulu dari KAI biar tau karakternya. Kali tahun depan impian terwujud ketemu https://t.co/KTRGJcg8zY #AktifitasTanpaBatas #EXO #Indihome
233;compliment;gaya_taufan;Syukurlah, Senin sudah berlalu. Selamat Hari Selasa. Dengan Jaringan IndiHome semua kerjaan pasti beres! https://t.co/Q9srlmGdmu
234;none;fajryhid;@ramzyallam_ diam indihome
235;own tweet;indihomecare;@FazaMeonk Halo, Kak Faza. Kami senang mendengar kabar baiknya, selamat menikmati layanan IndiHomenya ya, dan semoga Kakak sehat selalu. Stay safe, stay healthy dan bersama IndiHome #PastiBeres. Terima kasih. -Boang
236;none;newbyeyourside;@secgron @IndiHome Bantu up gan saya ndukung
237;own tweet;indihomecare;@asrizulhajar Halo, Kak Asrizul. Senang mendengar kabar baiknya, selamat beraktivitas kembali, stay safe, stay healthy dan bersama IndiHome #PastiBeres. -Pemi
238;own tweet;indihomecare;@AsepKadal_ Hai, Kak Asep. Sama-sama, ya, Kak. Pastikan selalu IndiHome yang menemani aktifitas Kakak ya. Stay Safe dan Stay Healthy. -Jayen
239;none;lovehatebanget;@annjuseyo Temenku indihome juga lagi ngeluhhh
240;none;senatorsigit;@barrystyIe Indihome
241;complaint;annjuseyo;Hadeee indihome bener2 ya, ngirim file 18 mb aja 1 jam gagal mulu
242;none;matiasalvin;Udah waktunya indihome dirujak
243;own tweet;indihomecare;@MTvku @IndiHome Halo, Sobat. Timo cek sudah ada tiket laporan dengan nomor tiket IN 13 26 53 912. Lalu saat ini sudah Timo bantu follow up pada tiket laporan nya ya. Diupayakan dapat segera solved dan tersolusikan. Terima kasih.
244;complaint;zamaliara;Apasih indihome
245;complaint;trjgonometri;Indihome is such a bitch
246;own tweet;indihomecare;@ayukodiajeng Sore, Kak Ayu. Perihal rincian tagihannya silakan Kakak informasikan data, atas nama pemilik , alamat pemasangan , jumlah tagihan terakhir (lunas) dan relasi dengan pemilik IndiHome... https://t.co/UYfdTztWwz
247;none;dahyun98sky;?? Kalau ini your home. Ini indihome. https://t.co/4mb97eiz5a
248;none;gominesii;?? Ini indihome. Kalau ini your home. https://t.co/avbr7SBkoa
249;none;auliaabelku;Saksikan pertandingan bola hanya di vidio melalui Indihome
250;complaint;niwandard;indihome ini kalo diibaratkan manusia, tipe manusia yg tidak memudahkan urusan orang lain.
251;campaign;umi_m22;Dengan internet dari IndiHome kamu bisa nyari apa aja di laptop #InternetnyaIndonesia #AktivitasTanpaBatas https://t.co/xLrns4lbam
252;complaint;bjsukmawan;Dinaikin 50mbs tp kok gini @IndiHome https://t.co/oXGME16wS9
253;inquiry;fla_tia;@IndiHome mau cabut indihome karna mau pindah tempat, gimana caranya ? Tolong infonya
254;complaint;zhuonism;indihome kapan benerin wifinya please gue ada pr :(
255;none;saus_khacang;@assadsession Kirain indihome wkwkw
256;campaign;nelafyz;Aeri, kalian iri gak sih sama Korean EXOL? Mudah banget nonton acara #EXO, apalagi kalau acara tsb hanya pakai bahasa Korea alias gak ada terjemahan. Awalnya KAI's Bucket List begitu, tapi akhirnya tayang jg di Indonesia. https://t.co/FVRLqCwUAx #AktivitasTanpaBatas #IndiHome
257;complaint;thsmeehhe;jaringan indihome jeleg banget dah
258;own tweet;indihomecare;@_zrsv Sama-sama Sobat. Senang mendengar kabar baiknya. Selamat menikmati layanan IndiHome kembali. Jika ada yang ingin ditanyakan, jangan sungkan untuk hubungi kami kembali. Terima kasih. -Jako
259;campaign;brobay29;Internet tidak pernah diragukan kalau dengan indihome #AktivitasTanpaBatas #InternetnyaIndonesia https://t.co/uZyAiU4YXa
260;complaint;m_asrodin;@IndiHomeCare oh indihome, ada apa dengan jaringan mu?. Gak capek apa putus nyambung-putus nyambung terus...
261;own tweet;indihomecare;@Raiskalamsatria Halo, Kak Raiska. Apakah yang dimaksud nomor internet **15? Jika iya, silakan informasikan atas nama, alamat pemasangan, jumlah tagihan terakhir (lunas), dan relasi dengan pemilik IndiHome via DM atau klik link https://t.co/yuUDRsBgiA agar dicek lebih lanjut. Terima kasih. -Boang
262;none;hmeaudreyy;bye indihome
263;complaint;jinx_pro_ula;Aslina indihome jeng telkomsel siga kanjut badag
264;none;kxxclypi;@MySumatera Jawabannya adalah Masjid Raya Al-Mashun Medan Ikutan yuk @Diniindahsafitr @dinnanoov @ayu_marcellina #IndiHome #InternetnyaIndonesia #AktifKreatif
265;none;misterclown8;@saipipul Ya di tag to indihome nya biar mereka tau usahamu
266;complaint;norry25;Saya melapor siaran Tv dan Internet Indihome tidak aktif (lampu kontrol Los nyala merah terus)
267;none;pairoro;Indihome juga anjeng
268;inquiry;sweetpieexs;mau nanya dong, bagusan mnc play atau indihome? ??
269;complaint;onyour_na;indihome jelek bgt dari tadi ????
270;compliment;itsrizaldy;Indihome baik bat dah, tagihan bulan ini cuma 44 rb
271;complaint;dwibagusg;@IndiHome min ini knapa ya akhir2 ini ko lemot banget saya berlangganan udah lama dulu perasaan ga kaya gini, tolong tindak lanjutnya min
272;complaint;adriananyaa;Gue ngerasa cuma indihome yang petir kecil doang aja bisa lgsg mati internet nya??
273;compliment;qfly_mu;Keasikan main game dari tadi dengan koneksi indihome jadi lupa waktu bikin happy?? https://t.co/w0mXzuK5ca
274;own tweet;indihomecare;@_zrsv Halo, Kak. Mengenai laporannya silakan untuk menginformasikan capture pada layar IndiHome TV nya ya Kak, agar bisa dibanyu penegcekan lebih lanjut. Silakan untuk mengirimkanya melalui via DM ya... https://t.co/uAApVHIxJJ
275;complaint;m_nrizki;Sumpah hari kesal betul sama @IndiHome kurang aja betul
276;none;yaniani97524442;Mau dapat poin dari Indihome? Yuk berlangganan sekarang gaes # InternetnyaIndonesia https://t.co/4osB26PbIJ
277;campaign;ettyrastika;Lewat aplikasi My IndiHome buat beli add on udah paling mudah ????! Jadi cukup dari rumah ?? aja sudah bisa nikmatin semua add on yang ada di IndiHome ???? #AktivitasTanpaBatas #InternetnyaIndonesia @ Kalimantan Selatan https://t.co/fI0elRF1Tw
278;none;hhhheeeeeeeeee;@IndiHome @IndiHomeCare
279;compliment;riohuber;Puji Tuhan. Udah hidup lagi sejak ditangani teknisi @IndiHome gegara kabel putus dimakan tikus...
280;complaint;hhhheeeeeeeeee;yg pake indihome kasih solusi dong klo wifi nya ada tulisan no internet gimana, gw udh capek bgt ngurusin ginian call center ke 147 juga gaada hasil positif samsek udh 2 minggu nih sejak pindah tempat tinggal
281;complaint;harutoat;@lvyedam indihome ikut hanyut kebawa air
282;complaint;lvyedam;Hujan??indihome??hilang
283;campaign;merianaap;"Semoga kita semua diberi kesehatan&amp;keselamatan dihari ini. Manfaatin IndiHome untuk hal kebaikan hari ini, berburu pahala lewat virtual jg bisa lho ?? #AktivitasTanpaBatas #InternetnyaIndonesia https://t.co/4LBmNm2oLQ"
284;campaign;arellsha;Tontonanku tiap weekend salah satunya tuh KAI's Bucket List, gemeesssin banget deh liat Jeong In?? We Are One! EXO! Saranghaja! #AktivitasTanpaBatas #IndiHome #EXO https://t.co/55C0AK6kim
285;own tweet;indihomecare;@esa_muktiaji Senang mendengar kabar baiknya, Kak Esa. Selamat menikmati kembali layanan IndiHome. Stay safe, Stay healthy dan bersama IndiHome #PastiBeres -Idan
286;own tweet;indihomecare;@3DwiWirdianti Sore, Kak Dwi. Untuk pasang baru layanan IndiHome tentunya bayar dong, Kak. Informasi harga sudah Taofik bantu kirim via DM. Silakan cek kembali dan lanjutkan interaksinya di DM saja agar lebih... https://t.co/uHqdaqCT6L
287;campaign;merianaap;"Semoga kita semua diberi kesehatan&amp;keselamatan dihari ini. Manfaatin IndiHome untuk hal kebaikan hari ini, berburu pahala lewat virtual jg bisa lho ?? #AktivitasTanpaBatas #InternetnyaIndonesia"
288;complaint;chornelius08;Min @IndiHomeCare @IndiHome , wifi saya tiba2 nyala merah kedip2 di bagian LOS. Tadi siang masih normal. Sekarang gak bisa dipake. Mohon bantuannya. Makasih https://t.co/G06s4odCXL
289;compliment;ajibrawijayaa;Masak kalah nih sama @IndiHome ??
290;complaint;oiksyw;@zhonglipdip absen27 hadir bu maaf telat tadi wifi saya mati Hahaaha indihome bu ngertikann bu,,
291;none;telkomkti;"Perempuan dikatakan hebat dan sukses hanya dilihat dari posisi, prestasi hingga penampilan, apa itu benar Sobat??? Semua perempuan pun bisa mencapai kesuksesan dimulai dari niat &amp; fokus ?????? Selamat Hari Perempuan, untuk Wanita-wanita Hebat??????????? #InternationalWomenDay #IndiHome https://t.co/lgtFNEWkqj"
292;compliment;indryindryindry;Yg sdh jago coc ngajarin kaka ngegame hahha... Gini nih klo paket Indihome bisa di pakai ramai² sekeluarga https://t.co/BOY33QB3Md
293;complaint;maxrboro;indihome bner² ajg ye, gua pake mabar ngelag mulu bgst, giliran gua pake yang laen aman² ae. emang ajg
294;none;ayunqee;@aqied Kalau indihome pasti bisa lihat yang tak kasat mata di Borobudur.
295;complaint;kidz9999;@IndiHomeCare gangguan mulu nih, masih kuliah, jaringan indihome dan Telkomsel tidak ada sinyal, tolong cek DM
296;compliment;telkomindonesia;Di bawah kepemimpinannya dan dukungan resources serta tim yang solid dalam merangkai 3C, Telkom - IndiHome berhasil meraih berbagai penghargaan prestisius.
297;compliment;telkomindonesia;Kompetensinya di bidang telekomunikasi berhasil mengawal dan memastikan layanan IndiHome merata dan efektif untuk masyarakat di seluruh Indonesia melalui 3C (Connectivity, Creativity, dan Charity),
298;campaign;alifnh86;Minum es teh rasanya manis Banyak manis sedikit sepat Hai kawan jangan lupa kerajain tugas, pake IndiHome pasti kerjaan kelar semua #AktivitasTanpaBatas https://t.co/4djn9JehGe
299;none;panggil_iq;@secgron @IndiHome Kalau diisolir, harusnya tagihan 27ribuan..
300;none;indihomecare;@ridwanalkatir Oke Kak Ridwan, senang mendengar kabar baiknya ya. Selamat menikmati layanan IndiHome kembali :) Terima kasih -Mutiara
301;campaign;itarahayunings1;pagiku cerahku matahari bersinar ternyata liburanku dirumah ajaaa.. sambil buka streamer favorit tentunya pake jaringan anti lemot dari indihome ???? #InternetnyaIndonesia #AktivitasTanpaBatas https://t.co/vXg3zuzZYH
302;campaign;itarahayunings1;butuh relaksasi cari yang hijau entah dimanapun langsung gas, eits saya lupa kalo ppkm hmm.. jadinya lewat youtube dulu aja jalan jalannya apalagi disupport jaringan internet super cepat dari indihome ?? #InternetnyaIndonesia #AktivitasTanpaBatas https://t.co/O8m7RnbHIn
303;complaint;taufanagr;Kebiasaan dah indihome nih kalo ujan sebentar gangguan nya lama dahh
304;complaint;suryasujar;@IndiHomeCare indihome di rumah saya terkendala, bisa dibantu?
305;none;ari202113;@BNICustomerCare Internet pakai indihome.baik
306;none;f_s_b__;@Askrlfess Di coba reset saja modem indihome nya nder, Nanti tutor setting ulang wifi nya bisa cari di YT ssuai merk modem yg d pakai nder
307;complaint;shio_kaze7;Si indihome berulah lagi
308;campaign;tielumphd;Sangking serunya OT indihome malem malem alias night sale... Pakai sarungan Kang? ?????? #telkomjabar #indihome #aktivitastanpabatas #rewardchallengetr3 https://t.co/Myf1DfRNEW
309;campaign;arrysofian1;pemandangan hijau alam emang paling cocok buat relaksasi jadi langsung buka youtube aja pake jaringan internet super cepat dari indihome ?? #InternetnyaIndonesia #AktivitasTanpaBatas https://t.co/x1RfMTMk1Y
310;inquiry;3dwiwirdianti;@IndiHomeCare min pasang baru indihome gratis atau bayar ya?
311;campaign;jonis_putra;LIONSGATE PLAY DI INDIHOME! #InternetnyaIndonesia #AktivitasTanpaBatas https://t.co/8jcwsRCqRu
312;inquiry;scapswan;@yoimioya paket wifi paling murah pake apaa? mo nyari yang selain indihome nih
313;compliment;marpenus;@tintinnya @klinikhukum @IndiHomeCare Ah gw pake indihome aman2 aja tuh ??
314;campaign;tielumphd;Nyamannya Pakai IndiHome Buat online mu jadi tenang dan nyaman dengan pasang baru IndiHome yang cepat dan mudah Yuk *SCAN QR CODE* berikut atau klik https://t.co/ed4FeEnkXr sekarang! #rewardchallengetr3 #telkomjabar #InternetnyaIndonesia #AktivitasTanpaBatas https://t.co/kQLdFed2jJ
315;inquiry;xixiangghhh;@IndiHomeCare saya udah menolak buat nambah speed tapi msh dapet pesan terus ini maksudnya apa ya? @IndiHome
316;inquiry;xixiangghhh;haloo indihome kenapa maksa banget buat nyuruh pelanggan nambah speed dan nambah biaya padahal udah jelas-jelas pelanggan bilang gamau. maksudnya apa ya? tolong kejelasannya ini spam terus lagi @IndiHomeCare @IndiHome
317;compliment;miedigoreng;@ciummeifimwrong Ahahahahahahaha bajigur. Indihome di rumahku aman ji nda pernah ji hilang. Yang suka hilang di rumahku remot tv.
318;own tweet;tielumphd;Amazing, walaupun hujan deras tapi internet lancar.. Pakai indihome gaiss?? #telkomjabar #aktivitastanpabatas #rewardchallengetr3 #indihome https://t.co/Kua8UqiL7M
319;inquiry;muhammadgian23;@IndiHomeCare Min, kalo jatuh tempo pembayaran IndiHome itu tangal berapa ya? #MauNanyaDong
320;inquiry;muhammadgian23;@IndiHomeCare Min, kalo jatuh tempo pembayaran IndiHome itu tangal berapa ya? #MauNanyaDong
321;complaint;ujangjenal2;@IndiHomeCare Hanya indihome yang tiap bulan merugikan pelanggan gak nanggung satu minggu wifinya mati, kalau bisa untuk pakenjeng garut selatan lebih baik putusin aja indihome biar gak stress
322;compliment;anasccf;Nge pantauin Cctv dluuu untuk memastikan semua aman,pastinya dengan akses smarthome dr Indihome Dong biar bisa sejernih ini https://t.co/RXn68SuDwE
323;none;chanheeiz;@jjuyeonc ?? Ini indihome. Kalau ini your home. https://t.co/5un1mbUHVx
324;complaint;ssynst;@GielvanDanu @IndiHome Parah
325;none;mysumatera;Terlepas dari polemik beberapa brand lokal yang hadir di Paris Fashion Show dalam Paris Fashion Week. 2 brand fashion asal Indonesia, Jewel Rocks dan Sean Sheila resmi terdaftar di website Paris Fashion Week.? Pernah dengar gak sob brandnya? #ParisFashionWeek #IndiHome https://t.co/LeAACL5wTg
326;compliment;vitaarahma23;I said yes for always using IndiHome https://t.co/AUULiDJPSd
327;none;gielvandanu;@ssynst @IndiHome Brengsek emang ya
328;none;ssynst;@GielvanDanu @IndiHome Bener..ini buzzernya https://t.co/0yMGme6l0Z
329;none;yanyeenan;?? Ini indihome. Kalau ini your home. https://t.co/FCOK5HBrMi
330;complaint;detanliii;Tolong bgt indihome lemot bgt aghhh
331;none;lapangduda;@iitaehyung indihome ya
332;compliment;satyabagus97;Jernih dong pake nya full HD nggak takut quota nya abis, kan pake wifi indihome #indihome #indihomejtd https://t.co/DbT4IgD2Me
333;complaint;vienettabrownis;Indihome lg gangguan apayaaa tanda seru terus dtrd pagi -_-
334;own tweet;indihomecare;@hamesbon Hai, Kak Yusniris. Pemi informasikan biaya pasang baru IndiHome adalah Rp50 0.00 0,00 belum termasuk PPN 10% dan dibayarkan diawal saat layanan IndiHome Kakak sudah aktif. Terima kasih -Pemi
335;complaint;temennyattaurel;@IndiHome @IndiHomeCare error mulu min saya lagi meeting, percuma dong pake wifi kalo ujung-ujungnya gini saya harus nyalain kuota.
336;none;ballvrick;Bandung dan sekitarnya gaskeunnn buat yg mau pasang indihome bisa scan atau klik https://t.co/ILJDznAR4W yakk https://t.co/81VZLr8sz3
337;own tweet;indihomecare;"@RamonSumitra Hai Kak, Jako informasikan harga berlangganan Vidio adalah ""Dua puluh sembilan ribu rupiah"" sudah termasuk PPN 10%. Yuk segera registrasi melalui IndiHome TV-nya agar bisa menikmati siaran... https://t.co/xmMldFRPIC"
338;compliment;satyabagus97;Paling mood pas libur kerja minum es + nonton film lancar pake Indihome dah mantap dahh #indihome #indihomejtd https://t.co/UENVzd3jWA
339;none;ciggaaftrsex;"Orang indihome bawa tangga buat perbaiki kabel, gue teriak ke bunda ""bun, pantesan ga bisa wifinya, ada masalah, tuh orang indihome bawa pager"" PADAHAL DIOTAK GUE ITU TANGGA ANJRIT, bunda langsung ""ha???"""
340;inquiry;kikywindia;Admin @IndiHome mau tanya dong, kok tagihan wifi aku jadi 24rb. Kan jadi enak, tapi skeptis juga nih. Mohon pencerahan ya min, trims??
341;complaint;gielvandanu;Search pake keyword indihome buat ngecek @indihome lagi problem apa. Malah ketutupan sama tweet buzzer indihome. Hoki banget plat merah coverage paling gede. Banyak yg ga punya pilihan lain.
342;complaint;isahkambali;6. Sbgai info..internet tetangga semua lancar ya.. only kami yg error. What happen..? @IndiHomeCare @IndiHome sdh 3x ganti modem tp blm ada internet. Katanya nanti dikabari. Ini sdh 3 hari
343;none;voltusfaibu;@buckleybliss @cocornflakes Baksil nya juara. Wkwkwkw Waktu lg skripsi aku suka ke baksil. Katanya temen aku yg indihome suka diikutin kunti baksil. ????
344;inquiry;hamesbon;Min @IndiHomeCare biaya psb indihome brpa?
345;none;rizqience21;@TelkomJabar Jawaban : 2-1-3-4-5 #GiveawayTelkomjabar #IndiHome Yuk ikutan guys @diahelmawati @AtharErna @Erika060999 @_rizqinramalia @entiga_victory
346;compliment;_ailurophileeee;Orang yang paling sabar saat ini adalah para pengguna indihome
347;campaign;dinar_hesti;Teruslah maju jangan pernah ragu, karena pasti banyak hal baru yang sudah menunggu, anyway selamat hari Rabu, ada IndiHome kok yang selalu nemenin kamu ?? #internetnyaindonesia #aktivitastanpabatas https://t.co/xZ5HX4ewBG
348;none;chia_twt;Indihome kalau wifinya error mulu, kamu ya yang kusuruh ngerjain skripsiku
349;campaign;dinar_hesti;Selamat pagi! Tetap semangat jalani hari, meskipun byk kerjaan atau tugas online yg bikin kita pusing. Don’t worry ada IndiHome yg siap bantu dan dukung aktivitas online km loh hihi ?? #internetnyaindonesia #aktivitastanpabatas https://t.co/quWHs9w0xh
350;campaign;dinar_hesti;Aktivitas online semakin padat nih, semuanya serba online, untung pakai IndiHome hati jadi tenang, semua pasti beres! kerja onlen lancar, bisnis onlen pun laris manis ?? #internetnyaindonesia #aktivitastanpabatas https://t.co/ctOVUQi1Sk
351;none;karomiys;?? Ini indihome. Kalau ini your home. https://t.co/RgRdTxNx8d
352;inquiry;ehsiajis;@Irvan_Heidar @IndiHome calon pelanggan min
353;campaign;dinar_hesti;Kalau lihat nasi padang rasanya menu makan malam pingin pakai nasi padang deh??, biar lebih nikmat makannya sambil nonton mukbang di youtube pake IndiHome dong ?? #internetnyaindonesia #aktivitastanpabatas https://t.co/1CIEQ9meMU
354;compliment;ehsiajis;@Irvan_Heidar Sudalah kawan, Putuskan biznet mu Lalu join indihome bersamaku
355;compliment;faceboukk;jangan lupa nonton bola ya di vidio melalui IndiHome guyss
356;complaint;lovuvbs;test, indihome ngajak gelut
357;own tweet;indihomecare;"@ikhsanmiracle Hallo Kak Ikhsan. Jako informasikan biaya Pasang baru IndiHome adalah ""Lima ratus ribu rupiah"" belum termasuk PPN 10% dan dibayarkan diawal saat layanan IndiHome Kakak sudah aktif. Saat ini... https://t.co/tQTAncpJ30"
358;none;qoungeun;?? Ini indihome. Kalau ini your home. https://t.co/3oHY0M15Tu
359;none;yejiic;?? Ini indihome. Kalau ini your home. https://t.co/qltKADiXQ4
360;compliment;ratnadwicahyan5;@AmmarGill ga salah pilih deh pake indihome
361;campaign;wahyudiw16;katanya mau terjadi perang dunia ke 3 tapi apa huftt mending youtuban pake jaringan internet super cepat dari indihome ?? #InternetnyaIndonesia #AktivitasTanpaBatas https://t.co/ThVX2dfusI
362;compliment;nashitttt;@okkyandrianlola @IndiHome pake aplikasi indihome aja masbroo
363;none;kakpram;@idextratime @UtdDistrict bubar aja udah, gedungnya sewain ke Indihome.
364;none;jtihoon;?? Ini indihome. Kalau ini your home. https://t.co/Ko7O6j22EY
365;compliment;uwistory21;Sore-sore gini emang paling enak makan pizza bareng temen2 dikantor, apalagi mesennya sekarang gampang banget yang penting ada koneksi indihome terus udah deh. Mana lancar banget dipake internetan???? https://t.co/Dum23MKKOQ
